AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Bacchus, Ceres and Cupid",-,"Oil on canvas, 163 x 113 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/a/aachen/bacchus.jpg,painting,mythological,German,1601-1650
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",Deer beside a Lake,1888,"Oil on canvas, 53 x 82 cm",Private collection,https://www.wga.hu/detail/a/aagaard/deerlake.jpg,painting,landscape,Danish,1851-1900
"ABADIA, Juan de la",(active 1470-1490 in Huesca),The Archangel Michael,c. 1490,"Wood, 127 x 78 cm","Museu Nacional d'Art de Catalunya, Barcelona",https://www.wga.hu/detail/a/abadia/michael.jpg,painting,religious,Spanish,1451-1500
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",Albarello,c. 1545,Maiolica,"Musée des Beaux-Arts, Rouen",https://www.wga.hu/detail/a/abaquesn/albarell.jpg,ceramics,other,French,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Chimney breast,c. 1552,-,"Château, Écouen",https://www.wga.hu/detail/a/abbate/chimney1.jpg,painting,other,Italian,1501-1550
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/detail/a/abbati/abbati1.jpg,painting,landscape,Italian,1851-1900
"ABBATINI, Guido Ubaldo","(b. ca. 1602, Città di Castello, d. 1656, Roma)",Gian Lorenzo Bernini's Cornaro Chapel,c. 1650,"Oil on canvas, 168 x 120 cm","Staatliches Museum, Schwerin",https://www.wga.hu/detail/a/abbatini/cornaro.jpg,painting,religious,Italian,1601-1650
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",Medal commemorating Charles II embarkation at Scheveningen,1660,"Silver, diameter 7 cm","Royal Collection, Windsor",https://www.wga.hu/detail/a/abeele/commemo1.jpg,sculpture,historical,Dutch,1601-1650
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",The Midwife Taking Leave of the Girl from Andros,1801,"Oil on canvas, 158 x 129 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/detail/a/abildgaa/andria1.jpg,painting,mythological,Danish,1751-1800
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",Medallion Portrait of Emperor Maximilian II,c. 1575,Wax on obsidian,"Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/a/abondio/maximili.jpg,sculpture,portrait,Italian,1551-1600
